gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3925182901	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235241256/original.jpg	https://www.inaturalist.org/photos/235241256					2022-08-26T22:09:13Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3925175805	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235047794/original.jpeg	https://www.inaturalist.org/photos/235047794					2021-10-05T22:41:10Z	katietm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	katietm
3925175805	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235047843/original.jpeg	https://www.inaturalist.org/photos/235047843					2021-10-05T22:41:24Z	katietm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	katietm
3925175805	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235047821/original.jpeg	https://www.inaturalist.org/photos/235047821					2021-10-05T22:41:13Z	katietm		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	katietm
3925150900	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235221561/original.jpg	https://www.inaturalist.org/photos/235221561					2022-09-14T18:21:24Z	David Bell		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	David Bell
3925111611	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230507412/original.jpg	https://www.inaturalist.org/photos/230507412					2022-09-08T21:05:00Z	Kayleen Falkenstein		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kayleen Falkenstein
3925111611	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/230507427/original.jpg	https://www.inaturalist.org/photos/230507427					2022-09-08T21:05:00Z	Kayleen Falkenstein		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kayleen Falkenstein
3925101244	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237812538/original.jpg	https://www.inaturalist.org/photos/237812538					2022-08-22T00:12:24Z	laurahergs		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	laurahergs
3925090871	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235142214/original.jpeg	https://www.inaturalist.org/photos/235142214					2022-08-10T16:21:42Z	Tyler Smith		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Tyler Smith
3925090871	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235142197/original.jpeg	https://www.inaturalist.org/photos/235142197					2022-08-10T16:21:42Z	Tyler Smith		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Tyler Smith
3925090871	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235142180/original.jpeg	https://www.inaturalist.org/photos/235142180					2022-08-10T16:21:42Z	Tyler Smith		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Tyler Smith
3925071040	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235474311/original.jpeg	https://www.inaturalist.org/photos/235474311					2022-07-30T18:58:15Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
3925071040	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235474386/original.jpeg	https://www.inaturalist.org/photos/235474386					2022-07-30T18:58:17Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
